Woreda,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Harar,3.376407394,2.149330513,0.330646245,1.172421642,4.932069251,9.480898287
Dera,3.011382931,3.448830684,0.58650234,2.662522978,4.135866965,9.809772874
Ibantu,1,3.590873348,0.449871961,4.049369645,1.167546371,6.216916016
Gida Kiremu,1.970051231,2.747883485,0.504655676,1.69937737,3.196190853,6.865619454
Wara Jarso,2.577965532,3.559130041,0.542435002,2.748737906,3.608882374,8.935585811
Hidabu Abote,3.367062743,3.069631519,0.470425675,2.189746765,4.749656107,10.30646561
Limu,1.547797644,2.888712687,0.495669644,2.255638068,2.857774814,6.661210527
Guduru,2.270248736,3.093348679,0.397430152,3.339075634,3.014377235,8.623701605
Degem,2.841649033,2.738227012,0.396223557,2.467299784,4.602645073,9.91159389
Abay Chomen,2.336925154,2.866605369,0.38122004,2.304976521,3.169724397,7.811626072
Gerar Jarso,2.814681382,2.800400352,0.366835362,1.526083048,4.783356539,9.124120968
Ginde Beret,2.789121587,3.225313524,0.404644822,3.449224394,3.447774224,9.686120205
Kuyu,2.773912455,3.097758683,0.393445819,2.245345731,4.241798075,9.261056261
Horo,2.318587877,2.773885307,0.346788947,1.711419319,4.309227699,8.339234896
Abe Dongoro,1.731912632,3.04626258,0.474073418,2.426474937,2.493681463,6.652069032
Wuchale,2.665315047,2.895294721,0.3687997,1.57187504,4.571225889,8.808415976
Yaya Gulele,2.71436826,3.123232579,0.459537302,2.183262529,4.411613369,9.309244158
Jarso,3.608211971,3.166373308,0.484842579,2.322345062,4.586980027,10.51753706
Meta Robi,2.804305394,3.338367415,0.380754732,2.82991087,4.457478012,10.09169428
Begi,1.964538853,2.838329184,0.473439841,1.596467442,3.89498272,7.455989015
Kombolcha,3.363870234,2.773682017,0.446577306,1.579355354,4.749759015,9.692984603
Adda Berga,2.612927507,3.058873867,0.331837664,2.508525968,4.173448631,9.294902105
Babo,1.585749312,3.43631356,0.555692609,2.395195512,2.80722118,6.788166004
Bila Seyo,2.225689008,3.122669211,0.46835407,2.982517664,3.071074067,8.279280738
Meta,3.50212928,2.871659916,0.484771927,1.879087407,4.954966698,10.33618339
Haro Maya,3.271008938,2.414802086,0.369169304,1.299325143,4.850015823,9.420349904
Sasiga,1.914162105,3.241019202,0.553841389,2.149273596,2.765168391,6.828604092
Goro Gutu,3.700500221,3.310356666,0.554337299,1.908096369,4.929852852,10.53844944
Guto Gida,2.494858274,2.167637411,0.368937098,1.405551664,4.024140738,7.924550676
Gursum,4.212700948,3.456634417,0.552553346,3.18146349,4.335514671,11.72967911
Kersa,3.362224934,2.708088844,0.509000868,1.685549886,4.961641471,10.00941629
Jeldu,2.925268685,3.076572084,0.388519557,3.464217842,4.461000747,10.85048727
Doba,3.565195882,3.425770493,0.57707205,2.311460016,4.61157536,10.48823126
Mieso,3.668057594,4.02887659,0.652328208,2.415222494,2.818509468,8.901789555
Deder,3.505193081,2.914282838,0.503625517,2.038951018,4.987821587,10.53196569
Cheliya,2.692217148,2.878783683,0.427738494,2.450455692,4.070443783,9.213116622
Gawo Kebe,1.403222154,3.263712202,0.488030966,3.613097356,2.357414292,7.373733802
Babile,3.795774989,4.097342834,0.652119977,3.439063495,2.12170947,9.356547954
Ambo Zuria,2.693051801,2.548226661,0.278718247,1.672057816,4.338420457,8.703530074
Jimma Rare,2.894045128,2.988310893,0.363767277,2.992881283,4.505912945,10.39283936
Kurfa Chele,3.552285208,2.958909457,0.56870755,1.781777554,4.725814912,10.05987767
Tulo,3.463019916,2.978833251,0.452813735,2.492734016,4.94602976,10.90178369
Bedeno,3.274934027,3.048684498,0.505103328,2.827924172,4.716569961,10.81942816
Ayira Guliso,2.059887462,2.667106487,0.443322786,1.781996256,4.106542356,7.948426074
Dendi,2.522429575,2.966615856,0.39088645,1.827380286,4.384918732,8.734728594
Ejere (Addis Alem),2.52837511,2.974868742,0.39269283,1.786242557,4.464690993,8.779308659
Girawa,3.514661888,3.219178581,0.530200969,2.443262326,4.185611644,10.14353586
Bako Tibe,2.898328856,2.812191078,0.461525272,1.924656303,4.239789137,9.062774297
Malka Balo,3.262622727,3.4936492,0.545221987,3.431706125,4.003041639,10.69737049
Ginir,2.840556837,3.201256001,0.494159452,2.079451672,3.445556796,8.365565305
Adaba,2.456883774,2.914431637,0.436622267,2.486599491,3.310707621,8.254190886
Shashemene Zuria,2.998800943,2.170333355,0.208108806,1.147539358,4.759981078,8.906321379
Kofele,2.989947232,2.613853593,0.442872894,1.856837474,4.688623507,9.535408212
Gedeb Asasa,2.991326575,3.004131205,0.529159275,2.036436614,4.491930689,9.519693878
Sinana,2.702165034,2.528384925,0.338601257,1.139642391,4.463672491,8.305479916
Golo Oda,3.324825307,4.166578701,0.665829663,3.509689951,1.711934022,8.54644928
Rayitu,3.199517229,3.378874199,0.633354663,3.371488207,1.633522925,8.204528361
Fedis,3.728200674,4.217845877,0.668725423,2.76979838,3.395729127,9.89372818
Gemechis,3.276246882,3.400035303,0.498183422,3.458858874,4.435702072,11.17080783
Mesela,3.216992132,3.150318891,0.475213718,3.229262292,4.68852071,11.13477513
Fentale,3.501308253,3.78732984,0.537197036,1.580154458,3.554444009,8.635906719
Haru,2.153904372,2.533042386,0.433168919,1.508585671,4.342720475,8.005210517
Anchar,3.033045187,3.738207832,0.624909865,2.455928472,3.087386881,8.57636054
Yubdo,1.80400936,2.877486545,0.435266513,1.801585178,3.794373063,7.399967601
Wama Hagalo,2.310392893,3.413028722,0.553437936,3.478012771,2.587916769,8.376322433
Jarte Jardega,1.544920459,2.967449602,0.365256343,2.425852803,2.749268619,6.720041881
Kuni,3.323382574,3.168156903,0.517094462,2.695754032,4.026971724,10.04610833
Nole Kaba,1.350393179,3.022411992,0.424738604,3.180701836,3.147908735,7.67900375
Ilu,2.535033776,2.902484394,0.500602381,1.217703738,4.610904419,8.363641933
Tikur Enchini,2.397534372,3.269784295,0.33275132,3.402396843,4.162335307,9.962266522
Ada'a,2.813084645,2.0175494,0.212856651,1.062753241,4.846728739,8.722566625
Dawo,2.98048818,2.958738317,0.463188226,1.647655664,4.982804888,9.610948732
Dano,2.673011005,2.959276891,0.520894656,2.9185792,4.03115594,9.622746145
Jimma Arjo,2.215206487,2.751045534,0.43179248,2.896616783,3.821722099,8.933545369
Meko,1.244588201,2.990495555,0.403876899,4.152730481,2.373339702,7.770658384
Habro,3.413204449,2.973165429,0.513428339,1.736157431,4.764568563,9.913930443
Nono,2.577156908,2.969469469,0.543294169,2.489373475,3.464216259,8.530746642
Limu Seka,2.078842165,3.122653872,0.493208945,3.897133527,2.896995214,8.872970906
Merti,3.00819736,3.540451993,0.537425134,1.961221838,3.422903975,8.392323173
Hawa Galan,1.99057387,2.987368693,0.544752836,1.839155453,3.883138088,7.71286741
Nunu Kumba,2.399255242,3.084939493,0.516062088,3.102371438,3.335632689,8.837259369
Boset,3.051920667,3.514567734,0.562068875,1.418074013,4.275477736,8.745472416
Lome,2.83444864,2.327896885,0.270788785,1.094141422,4.721485192,8.650075254
Boke,3.14635167,3.984761931,0.646990808,2.823623144,2.151178793,8.121153607
Wenchi,3.289425292,3.039304739,0.408203716,2.238266147,4.814895277,10.34258672
Tole,2.728402103,3.037255345,0.460391879,1.788380648,4.448450765,8.965233516
Darimu,1.846067447,2.944475012,0.47091105,3.257720109,3.974142003,9.077929559
Ameya,2.559610039,3.141844376,0.512173306,2.943906889,3.983621545,9.487138473
Becho,2.79169892,2.796281079,0.392235714,1.531978699,4.475478061,8.79915568
Adama,2.956099872,1.664875432,0.140567073,1.068564129,4.790331074,8.814995075
Waliso,3.013371375,2.619270042,0.28469956,1.707404113,4.938511737,9.659287225
Alge Sachi,1.795695804,2.751890907,0.443497706,3.060628596,3.717372603,8.573697003
Aseko,2.746689741,3.255872419,0.428495753,3.656136579,4.092986781,10.4958131
Gololcha Arsi,3.043015567,3.063994837,0.502376224,3.528435918,3.875102254,10.44655374
Chora,2.021416121,2.999032401,0.50520639,3.540276868,2.66912989,8.230822879
Jeju,2.839084991,3.061610457,0.423150562,1.45440495,4.205864678,8.49935462
Seden Sodo,2.701231114,2.940538361,0.359426513,2.207179678,4.445582101,9.353992893
Chora,2.244461745,2.923792903,0.435628409,3.116781778,3.943509062,9.304752585
Sire,2.82372806,3.026589721,0.478086982,1.335995983,4.310750468,8.470474512
Metu Zuria,2.398275828,2.448978492,0.341111053,1.811321716,4.380423731,8.590021275
Yayu,2.094423033,2.829194111,0.443622369,3.00346815,3.994877374,9.092768557
Dugda,3.00042746,2.56446987,0.435935391,1.804471044,4.143684077,8.948582581
Chole,2.627857017,2.633138968,0.406350247,3.422773915,4.240803433,10.29143437
Ziway Dugda,3.038471537,3.069628929,0.498113389,2.180861294,3.416179147,8.635511979
Didu,1.334347288,2.782048691,0.410301717,3.151244629,2.506269201,6.991861117
Sude,2.392709111,3.090448356,0.409331802,2.958741057,3.575242899,8.926693067
Setema,2.103700945,3.306186013,0.403915108,3.873897512,3.47280262,9.450401076
Hitosa,2.85592114,2.660172163,0.449480235,1.688461244,4.593067972,9.137450356
Dedesa,2.706597894,2.629573584,0.468000825,2.81284719,4.283331666,9.80277675
Sigmo,2.402480118,3.192300892,0.410733472,3.725930554,3.921532667,10.04994334
Tiro Afeta,2.63812853,3.048091835,0.445673191,3.479932674,4.148357845,10.26641905
Lege Hida,2.820787539,4.491698574,0.645610162,3.673501141,1.169311831,7.663600512
Amigna,2.72373255,3.219396646,0.477965311,3.046259814,3.170368845,8.940361209
Goma,2.89772882,2.617226984,0.411604985,2.43246404,4.883886871,10.21407973
Adami Tulu Jido Kombolcha,3.160231348,2.539999833,0.388030438,1.812436769,4.110998815,9.083666932
Tiyo,2.909218094,2.151904617,0.275747256,1.327916904,4.695517175,8.932652174
Kersa,2.771701175,2.240286788,0.305791369,2.73176419,4.574771611,10.07823698
Sekoru,2.638390884,2.743098015,0.441537669,2.622058684,4.080056828,9.340506396
Robe,2.66095386,3.099661022,0.458129809,2.362086781,4.159693515,9.182734157
Gera,2.082605345,3.12917068,0.413363922,3.597501841,3.585949122,9.266056308
Mena,2.879932897,2.77790828,0.453310859,2.499659521,4.801599218,10.18119164
Seru,2.755155777,3.376502357,0.542305085,3.201624361,2.310148456,8.266928594
Degeluna Tijo,2.88526407,2.98768392,0.448141951,2.595130813,4.418878229,9.899273113
Gololcha Bale,2.479202443,3.172739454,0.468259663,2.679646883,3.241228351,8.400077676
Omo Nada,2.664862855,3.198209005,0.492603585,3.812878641,4.076197563,10.55393906
Munessa,2.958609543,3.16623547,0.427249353,3.307090918,4.31520264,10.5809031
Shebe Sambo,2.255983756,2.973692943,0.405958843,2.754410753,3.725818695,8.736213203
Seweyna,3.135243002,3.820997947,0.606647828,3.639003631,1.684823804,8.459070436
Shirka,2.730847151,3.112954179,0.476770374,2.564792023,4.452745531,9.748384705
Arsi Negele,3.173593157,2.825064684,0.441757971,1.793218177,4.172465891,9.139277224
Dedo,2.803807499,3.068640181,0.510717096,3.595641123,4.593136997,10.99258562
Limu Bilbilo,2.835673889,2.627654756,0.437268853,2.141673643,4.382518731,9.359866263
Shalla,3.319442811,2.804210124,0.541035708,1.955181918,3.74541681,9.020041539
Agarfa,2.583758383,2.942114212,0.446063404,2.133889728,3.783038554,8.500686665
Dawe Kachen,3.139824878,4.108020126,0.656363305,3.771897462,2.771758823,9.683481164
Dodola,2.781079081,2.86353078,0.45170404,2.24326356,4.238971422,9.263314063
Goba,2.547615239,2.461249594,0.381362323,1.725865589,3.810498308,8.083979137
Kokosa,2.970016926,2.715456252,0.456030024,2.885433726,4.821203129,10.67665378
Berbere,3.505516143,3.522301823,0.55552526,3.87596216,3.203468326,10.58494663
Gura Damole,2.744824151,3.715881868,0.514546342,3.963765199,1.673867008,8.382456359
Nenesebo (Wereka),2.438317506,3.044822495,0.424681008,3.86503494,3.2326412,9.535993646
Mena,2.539812057,3.117873361,0.5388937,3.243040493,3.071987577,8.854840127
Gelana,2.514251896,2.948703254,0.493978199,3.427474611,2.668975075,8.610701582
Bore,2.700018984,2.940959548,0.44458405,3.495650197,4.074048568,10.26971775
Uraga,2.958857308,2.858997531,0.428908788,3.743087612,4.478514927,11.18045985
Meda Welabu,2.73652927,3.762594913,0.551750855,3.544798658,2.055646333,8.336974261
Adola,2.750809298,2.851665282,0.478434244,2.936228738,3.425455683,9.11249372
Odo Shakiso,2.843646501,3.23596851,0.48893418,3.866302415,2.631955414,9.34190433
Liben,3.131933338,3.259282203,0.457992528,2.550450486,2.701761587,8.384145411
Moyale,3.038045793,2.977294402,0.512176538,2.462810146,3.06480078,8.565656718
Borecha,2.230527782,3.136854373,0.491278098,3.602428379,2.840471792,8.673427953
Lalo Kile,1.75562478,2.935940919,0.458957133,2.002492013,3.911979895,7.670096689
Jarso,1.594896206,3.120690836,0.482965665,1.718073306,3.569286202,6.882255715
Jimma Horo,1.558480649,3.201490362,0.496455058,2.94785464,2.945403649,7.451738938
Yama Logi Welel,1.95089232,3.208462447,0.518231269,2.604330582,3.671234716,8.226457617
Dale Wabera,2.277241899,3.064801537,0.498915276,2.501153746,4.296706015,9.07510166
Dale Sadi,1.846997935,3.099578972,0.475191731,2.155145418,3.975816303,7.977959657
Boji Chekorsa,1.650875183,2.656601872,0.418565321,1.662517527,3.673154966,6.986547677
Gaji,2.486427888,2.74480881,0.443388688,1.802371621,4.636657702,8.925457211
Sayo Nole,2.154746223,2.700422215,0.44366455,2.873028217,4.127392786,9.155167225
Dega,1.850089842,2.988014607,0.404742097,3.055065839,3.359070398,8.264226079
Bilo Nopha,1.734826151,2.916774753,0.447634895,2.502190335,3.899715675,8.136732161
Halu (Huka),1.561697906,2.94295684,0.424122214,3.009410244,3.310120873,7.881229023
Ale,2.540473476,2.582187271,0.444008639,2.242020312,4.62296051,9.405454298
Hurumu,1.784982168,2.837805697,0.414147118,2.899180796,3.511411077,8.19557404
Becho,1.813299765,2.982781848,0.376602938,3.67133203,3.511304606,8.995936402
Gechi,2.41695047,3.043193804,0.424015937,3.248648313,3.52061851,9.186217293
Badele Zuria,2.456897592,2.879276988,0.39212096,2.759207985,3.88401217,9.100117746
Dorani,2.014154632,2.564898965,0.446578995,3.402268974,4.205275658,9.621699264
Boneya Boshe,2.508228849,3.078376279,0.527634054,2.981696911,3.098860865,8.588786625
Gobu Seyo,2.41219541,2.979769471,0.467652974,2.335852989,3.299314534,8.047362932
Leka Dulecha,2.166487243,2.831938462,0.44012143,2.079201363,3.827579639,8.073268245
Sibu Sire,2.311197581,2.945430569,0.476965675,2.153425672,3.364744556,7.829367809
Wayu Tuka,2.443418501,2.790070692,0.479675369,1.743069402,3.920969065,8.107456968
Amuru,2.255593057,3.057038028,0.4801615,2.304739038,2.697824163,7.258156258
Jimma Genete,2.775444752,3.070561845,0.398782402,2.506861483,4.347993115,9.63029935
Ababo,2.507232897,2.987483264,0.432917705,2.849445636,2.858519932,8.215198465
Gumay,2.478649403,3.091099196,0.458314638,3.149453764,4.081228598,9.709331766
Seka Chekorsa,2.972779759,2.676034493,0.440135309,2.213565274,4.974300943,10.16064598
Limu Kosa,2.417772391,3.069183307,0.468308609,2.678395788,3.866955128,8.963123307
Abuna G/Beret,2.937829101,3.52485462,0.48677148,3.071066428,4.127441924,10.13633745
Ifata,2.78855789,3.405153035,0.37286969,3.406395495,4.402691208,10.59764459
Toke Kutaye,2.990699251,2.80315445,0.33292308,1.70871582,4.662179627,9.361594698
Mida Kegn,2.771950326,3.143576105,0.417451145,3.594916207,3.794111731,10.16097826
Jibat,2.520005733,3.128017884,0.430804427,3.872640608,4.392580624,10.78522697
Goro,2.321180431,3.03138244,0.467369515,1.437101512,3.317932431,7.076214374
Kersana Malima,2.566630347,2.67162405,0.395121619,1.203746251,4.316643522,8.087020121
Debre Libanos,2.669803745,2.977202799,0.405539865,1.308217416,4.89669408,8.874715241
Mulo,2.23755804,3.401181287,0.308858812,2.387125457,3.492631308,8.117314805
Aleltu,2.488766853,3.076436818,0.343892108,1.641237644,4.375241902,8.505246399
Jida,2.818659988,3.421654133,0.371726643,2.307896404,4.686323263,9.812879656
Bora,3.115864895,2.846900024,0.488224612,1.833360837,4.355111877,9.304337608
Liben Chukala,2.915395413,2.984217857,0.460150616,2.221940505,3.987076746,9.124412664
Dodota,3.043783966,2.607035425,0.394093934,1.291281032,4.35291867,8.687983668
Lude Hitosa,2.836641492,2.753999072,0.353591631,1.699293397,4.672454384,9.208389273
Tena,2.570844176,3.014742646,0.447393983,2.804136685,4.301888577,9.676869437
Diksis,2.787664108,2.68552116,0.38159392,2.594554348,4.338340039,9.720558494
Inkolo Wabe,2.961576742,2.711503444,0.487229909,2.136959993,4.758364331,9.856901065
Guna,2.623607374,2.885657802,0.374934202,2.893891223,4.098586783,9.61608538
Bele Gesgar,2.434810449,3.006436651,0.44516977,2.840475516,3.635233151,8.910519117
Siraro,3.842869806,2.758723076,0.581782782,2.733213421,4.019846434,10.59592966
Kore,2.993723376,2.827698427,0.420827956,3.178440601,4.13147601,10.30363999
Goba Koricha,3.460425971,3.480115801,0.603557338,1.973839646,4.342033892,9.776299509
Chiro Zuria,3.249260707,2.88611698,0.430485724,1.753404186,4.769422848,9.772087741
Midega Tola,4.225924709,4.555442843,0.719832407,4.207316466,2.629156517,11.06239769
Meyu,3.515763822,3.996665289,0.66365817,3.877556897,1.17750216,8.570822879
Chinaksen,3.644633966,3.984552074,0.53796511,3.14685539,2.732097218,9.523586573
Gasera,2.358854265,2.912011178,0.44057192,2.068333862,3.259701595,7.686889722
Dinsho,2.407083962,2.515387436,0.419781049,2.449826265,3.383727135,8.240637362
Harena Buluk,2.505022742,3.650365563,0.461197366,4.420397729,2.57949445,9.504914921
Goro,2.700861045,3.044964885,0.461542859,2.089134311,3.533092006,8.323087362
Afele Kola (Dima),2.953321495,2.672081565,0.447094622,3.209023829,3.991841416,10.15418674
Kercha,3.203972559,3.204422363,0.416737679,4.560093962,4.810201414,12.57426793
Hambela Wamena,2.928905319,2.880260351,0.435176657,3.788645783,4.342032263,11.05958336
Girja (Harenfema),2.49424617,3.490754602,0.483213407,4.633270824,2.16454284,9.292059835
Wadera,2.784770777,3.096162572,0.512436565,3.510847594,2.599963623,8.895581995
Abaya,2.828737406,2.711248533,0.469385395,2.962075207,3.955620304,9.746432917
Bule Hora,3.210520645,2.938261373,0.467249176,2.647331155,4.289104954,10.14695675
Yabelo,3.013283214,3.836008683,0.593413608,2.288108252,2.076977098,7.378368564
Sodo Daci,2.534648042,2.77583325,0.397075046,1.520287855,4.068506949,8.123442846
Kondaltiti,2.367878083,2.956377843,0.336152097,2.185650692,3.46848311,8.022011885
Dugda Dawa,2.99536367,3.424816828,0.570295078,3.323660034,2.679052084,8.998075788
Melka Soda,3.010977184,4.162739094,0.57540635,4.010707016,2.205757627,9.227441827
Dillo,3.670004905,4.822018103,0.756888128,4.740901592,1,9.410906497
Dire,3.006572715,4.145734555,0.612523895,2.931153906,1.747025133,7.684751754
Dehas,3.032976923,4.678555176,0.642894943,3.429673823,1.366437494,7.82908824
